5,14,14,12,12,12,14,13,15,13,12,13,10,10,13,10,14,9,14,6,12,2,11,12,11,13,14,51,615,883,772,814,767,667,623,545,431,384,237,187,202,214,183,192,191,205,204,205,247,456,432,323,409,406,390,563,396,570,532,694,708,785,747,718,769,701,729,433,459,491,248,163,189,163,154,180,180,263,413,348,362,455,525,396,506,473,356,365,230,323,222,276,257,227,231,139,81,112,99,92,99,57,66,45,27,38,14,13,11,13,11,15,9,9,15,14,13,12,6,12,13,4,16,14,10,14,4,11,12,10,13,12,9,14,14,14,11,2,14,10,8,13,10,13,12,15,13,14,12,10,13,12,10,10,11,3,9,16,11,14,13,11,10,14,14,14,14,15,10,14,13,11
15,13,104,132,110,55,43,52,23,27,25,16,16,12,15,15,14,14,13,11,11,29,315,480,656,637,782,603,543,459,437,292,195,231,223,227,222,235,212,222,236,200,241,525,491,429,494,419,569,485,630,455,666,703,691,749,923,831,692,643,621,587,534,389,284,369,206,169,189,188,167,200,194,203,328,240,305,337,405,427,328,318,331,326,416,219,268,235,265,178,199,162,185,128,122,99,85,95,56,85,71,43,57,50,33,28,27,30,37,28,20,20,12,12,14,14,15,14,12,12,11,12,9,14,13,12,13,12,13,14,12,12,8,10,15,14,10,6,9,13,10,8,7,11,14,12,13,13,6,12,10,15,5,15,14,3,9,9,4,10,13,10,6,15,17,13,28,8,7,7,39,14
15,10,14,13,11,8,9,11,17,67,63,69,56,55,42,23,23,16,32,57,181,199,205,167,155,70,122,89,165,536,534,608,515,707,563,510,510,406,239,231,259,267,248,267,247,261,228,225,235,449,564,525,526,476,634,525,455,773,720,663,743,727,634,613,682,545,606,417,485,450,276,205,196,213,206,214,178,193,330,310,300,288,380,369,358,383,296,153,197,258,165,217,170,160,181,125,156,117,107,91,98,92,75,41,53,47,39,33,42,23,18,13,11,8,6,10,9,10,7,14,7,13,7,13,7,14,4,12,10,10,5,7,13,5,13,13,12,6,10,4,13,14,14,15,4,3,8,15,12,11,12,6,12,11,12,15,9,14,7,0,11,11,15,7,6,10,0,9,13,12,7,11
12,13,9,11,14,13,11,9,10,14,15,15,12,12,13,12,11,8,23,29,14,13,12,14,13,11,12,104,706,856,505,464,483,434,402,433,428,220,244,251,244,248,265,247,245,257,241,226,231,488,525,420,538,502,404,525,563,397,424,547,560,496,656,566,540,622,465,311,376,356,244,193,220,195,203,212,209,288,311,327,371,304,341,367,371,239,363,247,220,194,237,258,193,226,179,161,162,95,142,94,112,61,59,49,38,36,47,24,22,17,14,9,13,7,13,13,12,14,11,4,14,12,12,10,12,13,11,4,12,13,12,13,12,12,4,11,3,2,12,11,12,12,13,10,11,11,13,13,14,12,14,14,7,11,11,12,13,14,13,9,12,12,15,14,12,14,10,13,9,6,12,14
12,14,12,14,13,6,14,16,9,13,11,11,14,13,8,10,12,14,15,11,14,9,67,711,786,648,694,651,780,725,545,444,177,227,244,240,236,249,247,237,242,262,256,247,259,439,416,523,492,334,530,611,518,663,806,789,805,722,768,788,828,769,696,688,686,586,421,198,209,233,201,225,217,220,306,290,386,431,585,401,485,577,520,421,643,424,402,367,325,435,378,239,250,171,206,160,139,115,115,80,84,62,60,46,37,44,16,12,17,10,13,13,12,13,11,9,10,12,13,12,14,0,14,11,14,10,10,7,12,14,13,11,9,0,11,15,15,4,11,12,11,14,12,2,10,11,13,15,12,11,10,13,15,13,8,13,17,15,11,14,10,16,9,14,11,3,7,11,6,14,11,14
9,14,10,13,14,12,13,13,11,13,14,11,9,11,12,13,12,12,9,13,10,12,14,14,13,10,25,34,130,754,754,784,847,829,808,738,637,575,575,511,152,222,249,250,249,250,257,249,240,240,250,225,226,250,387,535,457,489,550,581,648,745,769,684,652,854,828,828,774,715,769,762,431,566,584,393,230,220,228,209,213,208,217,287,380,295,283,414,429,346,489,536,333,532,470,386,381,324,367,400,316,323,162,247,140,148,106,87,90,68,56,42,45,38,50,12,12,15,13,13,12,6,9,15,11,12,15,13,19,20,19,19,10,15,14,14,15,15,17,14,13,13,14,11,13,13,14,19,14,8,11,10,16,11,14,18,14,19,17,20,15,15,20,11,9,8,13,17,13,12,12,14
12,10,11,11,11,13,13,12,12,14,14,12,13,13,6,14,15,13,10,13,15,15,9,11,9,14,14,10,12,159,887,682,590,588,715,688,685,603,495,258,174,207,215,218,228,236,239,228,220,215,219,312,531,531,472,429,465,538,424,450,583,642,729,580,563,633,650,590,519,407,320,243,142,201,207,193,206,215,213,231,296,279,336,358,340,295,323,303,342,335,296,306,252,176,236,158,167,165,113,188,135,132,89,77,79,49,52,37,33,28,19,17,14,7,11,10,10,13,15,12,9,12,1,11,15,11,8,11,15,3,14,15,10,9,14,10,13,5,13,9,12,10,12,15,3,11,14,10,13,14,15,13,15,10,17,17,15,12,15,12,14,8,14,7,13,9,12,12,11,11,15,17
12,13,12,14,13,13,12,12,14,12,10,9,9,11,13,15,14,12,9,12,13,2,242,1226,735,864,836,875,659,864,900,791,674,396,212,228,255,267,269,272,269,271,266,259,319,603,644,571,544,561,506,307,445,688,739,733,769,783,750,693,703,656,564,543,474,350,187,194,192,193,180,199,204,223,332,314,366,336,401,359,216,360,251,252,256,250,201,188,161,140,119,119,100,98,64,74,84,72,62,49,55,57,26,43,29,28,24,23,19,16,15,9,15,11,12,14,7,12,12,13,15,11,12,10,11,12,12,11,15,14,15,13,12,11,14,9,13,14,14,11,14,14,14,15,12,12,9,12,12,12,12,13,9,12,13,10,13,11,9,10,11,12,13,15,15,8,14,12,15,11,9,13
14,13,10,12,13,11,11,14,11,12,9,13,15,14,2,12,11,15,14,0,10,12,12,76,430,734,614,636,706,750,792,723,694,441,153,175,198,219,221,220,235,244,237,227,222,232,473,691,622,589,603,637,676,710,694,825,808,816,774,629,763,672,611,517,479,449,374,290,193,209,208,217,219,192,261,304,332,292,322,329,304,326,309,242,322,278,222,245,218,127,241,214,124,171,110,122,76,69,63,44,63,44,34,39,34,25,21,15,15,12,11,12,13,18,11,11,14,2,11,12,14,10,2,12,11,13,16,16,19,14,17,22,17,20,17,19,18,16,12,19,15,14,9,15,12,17,16,15,14,16,6,11,15,10,14,16,13,15,14,10,14,12,21,16,15,10,14,15,15,11,13,13
14,8,12,10,11,14,13,13,14,10,9,12,12,15,13,12,13,12,11,13,13,11,14,6,10,12,12,13,13,39,654,992,579,817,696,807,781,592,519,521,253,218,245,251,238,226,215,212,209,210,211,294,568,606,524,489,441,474,448,494,625,599,769,699,674,689,668,568,592,559,484,421,355,279,169,189,194,198,211,205,230,347,323,358,417,403,354,370,280,331,220,311,339,172,322,338,230,288,217,248,165,101,97,68,109,88,83,83,48,34,46,23,19,16,11,14,14,13,10,14,13,11,14,10,14,11,10,14,14,14,12,11,7,13,12,17,16,11,12,13,6,11,15,14,14,14,14,13,11,11,12,14,10,14,15,2,10,11,12,14,15,7,13,8,12,5,12,13,10,10,14,12
